What's the sequence whose nth term is $\frac{1}{3n - 2}$|the answer is $1\; \frac{1}{4}\; \frac{1}{7}\cdots$|easy|$1\; \frac{1}{4}\; \frac{1}{7}\cdots$|$1\; \frac{1}{3}\; \frac{1}{5}\cdots$|$1\; \frac{1}{5}\; \frac{1}{9}\cdots$|$1\; \frac{1}{2}\; \frac{1}{3}\cdots$|$1\; \frac{1}{4}\; \frac{1}{7}\cdots$
What's the 8th term of the sequence $\frac{2}{11}\; \frac{1}{5}\; \frac{2}{9}$|the answer is $\frac{1}{2}$|easy|$\frac{1}{2}$|$\frac{2}{3}$|$\frac{3}{4}$|$\frac{1}{3}$|$\frac{1}{2}$
What's the 7th term of the series $\frac{1}{3} + \frac{8}{23} + \frac{4}{11} +\cdots$|the answer is $\frac{4}{9}$|easy|$\frac{3}{5}$|$\frac{2}{3}$|$\frac{4}{9}$|$\frac{5}{7}$|$\frac{4}{9}$
What's the 4th term of an HP whose 7th term is $\frac{1}{20}$ and 13th term is $\frac{1}{38}$|the answer is $\frac{1}{11}$|easy|$\frac{1}{11}$|$\frac{1}{12}$|$\frac{1}{13}$|$\frac{1}{14}$|$\frac{1}{11}$
If nth term of an HP is m and mth term is n then choose correct options?|the answer is $(m + n)th term= \frac{m\cdot n}{m + n}$ and $m\cdot n th term= 1$|medium|(m + n)th term= \frac{m\cdot n}{m + n}$|$m\cdot n th term= 1$|(m + n)th term= \frac{2m\cdot n}{m + n}$|none of these|(m + n)th term= \frac{m\cdot n}{m + n}$|$m\cdot n th term= 1$
The sum of three numbers in HP is 37. And sum of the reciprocals is $\frac{1}{4}$ What are the numbers|the answer is 15 12 10|medium|15 12 10|10 12 15|16 11 6|6 11 16|15 12 10|10 12 15
If a b c are in H.P choose the correct options.|all are correct|medium|$\frac{b + c}{b - a} + \frac{b + c}{b - c}$|$\frac{1}{b - a} + \frac{1}{b - c}= \frac{1}{a} + \frac{1}{c}$|both of these|non of these
If $x_{1}\;x_{2}\; x_{3}\; x_{4}\; x_{5}$ are in H.P.Which of these option is correct?|the answer is $x_{1}\cdot x_{2} + x_{2}\cdot x_{3} + x_{3}\cdot x_{4} + x_{4}\cdot x_{5}= 4\cdot x_{1}\cdot x_{5}$|medium|$x_{1}\cdot x_{2} + x_{2}\cdot x_{3} + x_{3}\cdot x_{4} + x_{4}\cdot x_{5}= 4\cdot x_{1}\cdot x_{5}$|$x_{1}\cdot x_{2} + x_{2}\cdot x_{3} + x_{3}\cdot x_{4} + x_{4}\cdot x_{5}= 3\cdot x_{1}\cdot x_{5}$|$x_{1}\cdot x_{2} + x_{2}\cdot x_{3} + x_{3}\cdot x_{4} + x_{4}\cdot x_{5}= 2\cdot x_{1}\cdot x_{5}$|$x_{1}\cdot x_{2} + x_{2}\cdot x_{3} + x_{3}\cdot x_{4} + x_{4}\cdot x_{5}= x_{1}\cdot x_{5}$|$x_{1}\cdot x_{2} + x_{2}\cdot x_{3} + x_{3}\cdot x_{4} + x_{4}\cdot x_{5}= 4\cdot x_{1}\cdot x_{5}$
If $x_{1}\;x_{2}\; x_{3}\; x_{4}$ are in H.P.Which of these option is correct?|the answer is $(x_{1} - x_{3})(x_{2} - x_{4})= 4\cdot (x_{1} - x_{2})(x_{3} - x_{4})$|medium|$(x_{1} - x_{3})(x_{2} - x_{4})= 4\cdot (x_{1} - x_{2})(x_{3} - x_{4})$|$(x_{1} - x_{3})(x_{2} - x_{4})= 2\cdot (x_{1} - x_{2})(x_{3} - x_{4})$|$(x_{1} - x_{3})(x_{2} - x_{4})= 3\cdot (x_{1} - x_{2})(x_{3} - x_{4})$|$(x_{1} - x_{3})(x_{2} - x_{4})= (x_{1} - x_{2})(x_{3} - x_{4})$|$(x_{1} - x_{3})(x_{2} - x_{4})= 4\cdot (x_{1} - x_{2})(x_{3} - x_{4})$
If b + c c + a a + b are in H.P then|the answer is both|medium|$\frac{a}{b + c}\; \frac{b}{c + a}\; \frac{c}{a + b}$ are in A.P|$a^{2}\; b^{2}\; c^{2}$|boyh of these|none of these|boyh of these
If a b c in A.P then|the answer is both|medium|$\frac{bc}{ab + ac} \frac{ca}{bc + ba} \frac{ab}{ca + cb}$ are in H.P|$\frac{1}{b + c}\; \frac{1}{c + a}\; \frac{1}{a + b}$ are in H.P|both of these|none of these|both of these
If a b c are in H.P then|the answer is both|medium|$\frac{a}{b + c - a}\; \frac{b}{a - b + c}\; \frac{c}{a + b - c}$ are in H.P|$\frac{a}{b + c}\; \frac{b}{a + c}\; \frac{c}{a + b}$ are in H.P|both of these|none of these|both of these
