What's the square root of 7 - 24i|the answer is $\pm (4 - 3i)$|easy|$(4 - 3i)$|$(-4 + 3i)$|$(-3 + 4i$|$(3 - 4i)$|$(4 - 3i)$|$(-4 + 3i)$
What's the square root of -11 - 60$\sqrt{-1}$|the answer is $\pm (5 - 6i)$|easy|$(5 - 6i)$|$(-5 + 6i)$|$(6 - 5i)$|(-6 + 5i)$|$(5 - 6i)$|$(-5 + 6i)$
What's the square root of -8 - 6i|the answer is $\pm (1 - 3i)$|easy|$(1 - 3i)$|$(-1 + 3i)$|$(3 - 1i)$|$(-3 + 1i)$|$(1 - 3i)$|$(-1 + 3i)$
What's the square root of $6\sqrt{-2} - 7$|the answer is $\pm (\sqrt{2} + 3i)$|easy|$(\sqrt{2} + 3i)$|$(-\sqrt{2} - 3i)$|$(3 + \sqrt{2}i)$|(-3 - \sqrt{2}i)$|$(\sqrt{2} + 3i)$|$(-\sqrt{2} - 3i)$
What's the square root of -5 + 12i|the answer is $\pm (2 + 3i)$|easy|$(2 + 3i)$|$(-2 - 3i)$|$(3 + 2i)$|$(-3 - 2i)$|$(2 + 3i)$|$(-2 - 3i)$
What's the square root of 4 - 6$\sqrt{-5}$|the answer is $\pm (3 - \sqrt{5})$|easy|$(3 - \sqrt{5})$|$(-3 + \sqrt{5})$|$(\sqrt{5} - 3)$|$(-\sqrt{5} + 3)$|$(3 - \sqrt{5})$|$(-3 + \sqrt{5})$
What's the square root of $4ab - 2(a^{a} - b^{2})i$|the answer is $\pm [(a + b) - i(a - b)]$|easy|$[-(a + b) + i(a - b)]$|$[(a + b) - i(a - b)]$|$\pm [(a - b) - i(a + b)]$|$\pm [-(a - b) + i(a + b)]$|$[-(a + b) + i(a - b)]$|$[(a + b) - i(a - b)]$
What's the square root of $\frac{x^{2}}{y^{2}} + \frac{y^{2}}{x^{2}} - \frac{1}{i}(\frac{x}{y} + \frac{y}{x})$ - \frac{9}{4}$|the answer is $\pm \left(\frac{x}{y} - \frac{y}{x} + \frac{i}{2}\right)$|easy|$\left(\frac{x}{y} - \frac{y}{x} + \frac{i}{2}\right)$|$\left-(\frac{x}{y} - \frac{y}{x} - \frac{i}{2}\right)$|$\pm \left(\frac{1}{2} + (\frac{x}{y} - \frac{y}{x})i\right)$|$\pm \left(-\frac{1}{2} - (\frac{x}{y} - \frac{y}{x})i\right)$|$\left(\frac{x}{y} - \frac{y}{x} + \frac{i}{2}\right)$|$\left-(\frac{x}{y} - \frac{y}{x} - \frac{i}{2}\right)$
What's the square root of $x^{2} + \frac{1}{x^{2}}$ + 4i(x - \frac{1}{x}) - 6$|the answer is $\pm \left(x - \frac{1}{x} + 2i\right)$|easy|$\left(x - \frac{1}{x} + 2i\right)$|$\left(-x + \frac{1}{x} - 2i\right)$|$\left(2 + (x - \frac{1}{x})i\right)$|$\left(-2 - (x - \frac{1}{x})i\right)$|$\left(-x + \frac{1}{x} - 2i\right)$|$\left(x - \frac{1}{x} + 2i\right)$
Simplify the expression $\sqrt{2 + 3\sqrt{-5}} + \sqrt{2 - 3\sqrt{-5}}$|the answer is $\pm 3\sqrt{2}$|easy|$3\sqrt{2}$|$-3\sqrt{2}$|3|2i|$-3\sqrt{2}$|$3\sqrt{2}$
Simplify $\sqrt{-64}$|the answer is $\pm (2 + 2i)$|easy|$(2 + 2i)$|$(-2 - 2i)$|(1 + 2i)$|$\pm (-1 - 2i)$|$(2 + 2i)$|$(-2 - 2i)$
Simplify $(3 + 2i)\cdot (3 - 2i)$|the answer is 13|easy|12|13|-13|15|13
Simplify $(i - 2)^{2}$|the answer is 3 - 4i|easy|3 - 4i|3 + 4i|-3 - 4i|-3 + 4i|3 - 4i
Simplify $\frac{2 - i}{4 + 3i}$|the answer is $\frac{1}{5} - \frac{2i}{5}$|easy|$\frac{1}{5} - \frac{2i}{5}$|$-\frac{1}{5} + \frac{2i}{5}$|$-\frac{2}{5} + \frac{1i}{5}$|$\frac{2}{5} - \frac{1i}{5}$|$\frac{1}{5} - \frac{2i}{5}$
Simplify $\frac{1 + 2i + 3i^{2}}{1 - 2i + 3i^{2}}$|the answer is 0 - i|easy|0 - i|0 + i|1 + i|1 - i|0 - i
Simplify $\left(\frac{1 + i}{1 - i}\right)^{2}$|the answer is -1|easy|-1|1|i|-i|1
Simplify $\left(\frac{1 + 2i}{2 + i}\right)^{2}$|the answer is $\frac{7}{25} + \frac{24i}{25}$|easy|$\frac{7}{25} + \frac{24i}{25}$|$\frac{7}{25} - \frac{24i}{25}$|3 + 2i|3 + 2i|$\frac{7}{25} + \frac{24i}{25}$
Simplify $2i^{2} + 6i^{3} + 3i^{16} - 6i^{19} + 4i^{25}$|the answer is 1 + 4i|easy|1 + 4i|1 - 4i|-1 + 4i|-1 - 4i|1 + 4i
Simplify $1 + i^{10} + i^{100} + i^{1000}$|the answer is 0|easy|0|1|-1|2|0
Simplify $i^{n} + i^{n + 1} + i^{n + 2} + i^{n + 3}$|the answer is 0|easy|0|1|-1|2|0
Simplify $\left[i^{17} - \left(\frac{1}{i}\right)^{34}\right]^{2}$|the answer is 2i|easy|2i|i|3i|1|2i
Simplify $(-i)^{4n + 3}$|the answer is i|easy|1|i|-1|2i|i
Simplify $\left(\frac{1 + i}{1 - i}\right)^{4n + 1}$|the answer is i|easy|1|i|-1|2i|i
Simplify $\frac{1}{(2 + i)^{2}} - \frac{1}{(2 - i)^{2}}$|the answer is 0 - $\frac{8i}{25}$|easy|0 - $\frac{8i}{25}$|0 + $\frac{8i}{25}$|2 - $\frac{8i}{25}$|2 + $\frac{8i}{25}$|0 - $\frac{8i}{25}$
Find x and y if (x + iy) + (7 - 5i)= 9 + 4i|the answer is x= 2, y= 9|easy|x= 2, y= 9|x= 9, y= 2|x= 2, y= 8|x= 8, y= 2|x= 2, y= 9
Find the x and y if (x + iy)(2 - 3i)= 4 + i|the answer is x= $\frac{5}{13}$, y= $\frac{14}{13}$|easy|x= $\frac{5}{13}$, y= $\frac{14}{13}$|y= $\frac{5}{13}$, x= $\frac{14}{13}$|x= $\frac{7}{13}$, y= $\frac{14}{13}$|x= $\frac{5}{13}$, y= $\frac{15}{13}$|x= $\frac{5}{13}$, y= $\frac{14}{13}$
Find the x and y if $\frac{(1 + i)x - 2i}{3 + i} + \frac{(2 - 3i)y + i}{3 - i}$= i|the answer is x= 3, y= -1|easy|x= 3, y= -1|x= -1, y= 3|x= 6, y= -1|x= 1, y= -1|x= 3, y= -1
Fimd the value of x and y $(3x - 2yi)(2 + i)^{2}= 10(1 + i)$|the answer is x= $\frac{14}{15}$, y= $\frac{1}{5}$|easy|x= $\frac{14}{15}$, y= $\frac{1}{5}$|x= $\frac{1}{5}$, y= $\frac{14}{15}$|x= $\frac{2}{15}$, y= $\frac{1}{5}$|x= $\frac{7}{15}$, y= $\frac{3}{5}$|x= $\frac{14}{15}$, y= $\frac{1}{5}$
