What's the square root of $-5 + 12i$|the answer is $\pm (2 + 3i$|easy|2 + 3i|-2 - 3i|2 - 3i|-2 + 3i|2 + 3i|-2 - 3i
What's the quadratic equation whose one root is a square root of $7 - 30\sqrt{-2}$|the answer is $x^{2} \pm 10x + 43$|easy|$x^{2} + 10x + 43$|$x^{2} - 10x + 43$|$x^{2} + 10x - 43$|$x^{2} - 10x - 43$|$x^{2} - 10x + 43$|$x^{2} + 10x + 43$
What's the value of $\frac{\sqrt{5 + 12i} + \sqrt{5 - 12i}}{\sqrt{5 + 12i} - \sqrt{5 - 12i}}$?|the answer is $\frac{-3i}{2}$|medium|$\frac{-3i}{2}$|$\frac{3i}{2}$|$\frac{-5i}{2}$|$\frac{5i}{2}$|$\frac{-3i}{2}$
Express $\frac{1}{1 - cos\theta + 2isin\theta}$|the answer is $\frac{1}{5 + 3\cdot cos\theta} - i\frac{2cot\frac{\theta}{2}}{5 + 3cos\theta}$|medium|$\frac{1}{5 + 3\cdot cos\theta} - i\frac{2cot\frac{\theta}{2}}{5 + 3cos\theta}$|$\frac{1}{5 + 3\cdot cos\theta} + i\frac{2cot\frac{\theta}{2}}{5 + 3cos\theta}$|$\frac{1}{5 - 3\cdot cos\theta} - i\frac{2cot\frac{\theta}{2}}{5 - 3cos\theta}$|$\frac{1}{5 - 3\cdot cos\theta} + i\frac{2cot\frac{\theta}{2}}{5 - 3cos\theta}$|$\frac{1}{5 + 3\cdot cos\theta} - i\frac{2cot\frac{\theta}{2}}{5 + 3cos\theta}$
If a, b, c, d are real and $ad\gt bc$ then imagaginary number z and $\frac{az + b}{cz + d}$ have|the answer is same sign|medium|same sign|opposite sign|depend on z|none of these|same sign
If $z_{1}= x_{1} + iy_{1}$ and $z_{2}= x_{2} + iy_{2}$ and $z_{1}= \frac{i(z_{2} + 1)}{(z_{2} - 1)}$ then|the answer is $x_{1}^{2} + y_{1}^{2} - x_{1}= \frac{x_{2}^{2} + y_{2}^{2} + 2x_{2} - 2y_{2} + 1}{(x_{2} - 1)^{2} + y_{2}^{2}}$|medium|$x_{1}^{2} + y_{1}^{2} - x_{1}= \frac{x_{2}^{2} + y_{2}^{2} + 2x_{2} - 2y_{2} + 1}{(x_{2} - 1)^{2} + y_{2}^{2}}$|$x_{1}^{2} + y_{1}^{2} + x_{1}= \frac{x_{2}^{2} + y_{2}^{2} + 2x_{2} - 2y_{2} + 1}{(x_{2} - 1)^{2} + y_{2}^{2}}$|both of these|none of these|$x_{1}^{2} + y_{1}^{2} - x_{1}= \frac{x_{2}^{2} + y_{2}^{2} + 2x_{2} - 2y_{2} + 1}{(x_{2} - 1)^{2} + y_{2}^{2}}$
What's this value of the smallest positive integer for which $\left(\frac{1 + i}{1 - 1}\right)^{n}$= 1|the answer is 4|medium|4|5|3|2|4
What the value of $(1 + i)^{2n} + (1 - i)^{2n}$|the answer is all of these|medium|0, when n i odd|$2^{n + 1}$, when $\frac{n}{2}$ is even|$-2^{n + 1}$, when $\frac{n}{2}$ is odd|all of these|all of these
If $\lvert z \rvert$= 1, then $\frac{z - 1}{z + 1}$ is|the answer is purely imaginary|medium|purely imaginary|purely real|0|none of these|purely imaginary
Simplified form of $\frac{(cos3\theta - i\cdot sin3\theta)^{6}\cdot (sin\theta - icos\theta^{3}}{cos2\theta + isin2\theta)^{5}}$|the answer is $sin25\theta + icos25\theta$|medium|$sin25\theta + icos25\theta$|$sin25\theta - icos25\theta$|$sin20\theta + icos20\theta$|$sin20\theta - icos20\theta$|$sin25\theta + icos25\theta$
What's all value of $\theta$ for which $\frac{1 - isin\theta}{1 + icos\theta}$ is purely real|the answer is $n\pi - \frac{\pi}{4}$, n $\in$ I|medium|$n\pi - \frac{\pi}{4}$, n $\in$ I|$n\pi + \frac{\pi}{4}$, n $\in$ I|$2n\pi - \frac{\pi}{4}$, n $\in$ I|$2n\pi + \frac{\pi}{4}$, n $\in$ I|$n\pi - \frac{\pi}{4}$, n $\in$ I
What're all the complex numbers for which $\frac{z - 2}{z + 2}$ is purely imaginary|the answer is $2(cos\theta + isin\theta)$|medium|$2(cos\theta + isin\theta)$|$(cos\theta + isin\theta)$|$3(cos\theta + isin\theta)$|$(cos\theta - isin\theta)$|$2(cos\theta + isin\theta)$
Find real values of x and y if $(x^{4} + 2xi) - (3x^{2} + yi)= (3 - 5i) + (1 + 2yi)$|the answer is $x= -2, y= \frac{1}{3}$ and x= 2, y= 3|medium|x= 2, y= 3|$x= -2, y= \frac{1}{3}$|x= 3, y= 2|none of these|x= 2, y= 3|$x= -2, y= \frac{1}{3}$
Find the complex number z such that $z^{2} + \lvert z \rvert= 0$|the answer is 0, $\pm i$|medium|0|i|-i|none of these|0|i|-i
Find the complex number z which simultaneously satisfy the equations $\lvert \frac{z - 12}{z - 8i} \rvert= \frac{5}{3}$, $\lvert \frac{z - 4}{z - 8} \rvert= 1$|the answer is 6 + 8i, 6 + 17i|medium|6 + 8i|6 + 17i|5 + 4i|6 + 3i|6 + 8i|6 + 17i
Find the complex number satisfing the condition (1 + iz)(1 + 2i) + (1 - iz)(3 - 4i)= 1 + 7i|the answer is -1 - i|easy|-1 - i|-1 + i|1 + i|1 - i|-1 - i
Find the complex number z if $\left(\frac{3}{2} + i\frac{\sqrt{3}}{2}\right)^{50}= 3^{24}\overline{z}$|the answer is $\frac{3}{2}$, $-\frac{3\sqrt{3}}{2}i$|medium|$-\frac{3\sqrt{3}}{2}i$|$\frac{3}{2}$|$-\frac{5\sqrt{3}}{2}i$|$\frac{4}{3}$|$\frac{3}{2}$|$-\frac{5\sqrt{3}}{2}i$
What're the values of z satisfying the equation $z^{2} + z\cdot \lvert z \rvert + \lvert z^{2} \rvert$|the answer is $k\cdot (1 \pm \sqrt{3}i$, $k\lt 0$|medium|$k\cdot (1 \pm \sqrt{3}i$, $k\lt 0$|$k\cdot (1 \pm \sqrt{3}i$, $k\gt 0$|$k\cdot (-1 \pm \sqrt{3}i$, $k\lt 0$|$k\cdot (-1 \pm \sqrt{3}i$, $k\gt 0$|$k\cdot (1 \pm \sqrt{3}i$, $k\lt 0$
Find the values of the z $2z= \lvert z \rvert + 2i$|the answer is $\frac{1}{\sqrt{3}}$ + i|easy|$\frac{1}{\sqrt{3}}$ + i|$\frac{1}{\sqrt{2}}$ + i|$\frac{1}{\sqrt{3}}$ - i|1 + i|$\frac{1}{\sqrt{3}}$ + i
If $a\gt 0$ and $z \lvert z \rvert + az + 1$ then|the answer is z is a negative real number|medium|z is a negative real number|z is a positive real number|z is 0|none of these|z is a negative real number
If $a\gt 0$ and find all complex number z satisfying $z \lvert z \rvert + az + i$|the answer is $i\frac{a - \sqrt{a^{2} + 4}}{2}$|medium|$i\frac{a - \sqrt{a^{2} + 4}}{2}$|$i\frac{a + \sqrt{a^{2} + 4}}{2}$|$i\frac{a - \sqrt{a^{2} + 4}}{3}$|$i\frac{a - \sqrt{a^{2} + 4}}{5}$|$i\frac{a - \sqrt{a^{2} + 4}}{2}$
If $a\gt 0$ and find all complex number z satisfying the equation $\lvert z^{2} \rvert -2iz + 2a(1 + i)= 0$|the answer is $z= a + i(-1 \pm \sqrt{1 - a^{2} - 2a})$|medium|$z= a + i(-1 \pm \sqrt{1 - a^{2} - 2a})$|$z= a - i(-1 \pm \sqrt{1 - a^{2} - 2a})$|$z= a + i(1 \pm \sqrt{1 - a^{2} - 2a})$|$z= a - i(1 \pm \sqrt{1 - a^{2} - 2a})$|$z= a + i(-1 \pm \sqrt{1 - a^{2} - 2a})$
If $a\geq 1$, find all the complex numbers satisfing the equation $z + a\lvert z + 1 \rvert + i= 0$|the answer is all of these|medium|z= -1 - i, for a= 1|z= \frac{-a^{2} \pm a\sqrt{2 - a^{2}}}{a^{2} - 1} - i, for $1\gt a\lt \sqrt{2}$|no value for a \gt \sqrt{2}|all of these|all of these
If x= $\frac{-1 + \sqrt{3}}{2}$ and y= $\frac{-1 - \sqrt{3}}{2}$ and n be an integer no divisible by 3 then $x^{n} + y^{n} + 1$ is|the answer is 0|easy|0|1|2|none of these|0
