What's the value of $\begin{vmatrix} 10 & 2 \\ 30 & 6 \end{vmatrix}$|the answer is 0|easy|0|10|12|60|0
What's the value of $\begin{vmatrix} 1 & -1 \\ y & x \end{vmatrix}$|the answer is x - y|easy|x + y|x\cdot y|y - x|x + y|x + y
If $\begin{vmatrix} x & 8 \\ 3 & 3 \end{vmatrix}$, the value of x is|the answer is 8|easy|3|8|24|0|8
If $\lambda \in \mathbb{R}$ and $\Delta = \begin{vmatrix} a & b \\ c & d \end{vmatrix}$ then $\lambda \Delta$ is equal to|the answer is $\begin{vmatrix} \lambda \cdot a & b \\ \ambda \cdot c & d \end{vmatrix}$|easy|$\begin{vmatrix} \lambda \cdot a & \lambda \cdot b \\ \lambda \cdot c & \lambda \cdot d \end{vmatrix}$|$\begin{vmatrix} \lambda \cdot a & b \\ c & d \end{vmatrix}$|$\begin{vmatrix} \lambda \cdot a & b \\ \lambda \cdot c & d \end{vmatrix}$|none of these|$\begin{vmatrix} \lambda \cdot a & b \\ \lambda \cdot c & d \end{vmatrix}$
If A= $\begin{vmatrix} a & d & l \\ b & e & m \\ c & f & n \end{vmatrix}$ and B= $\begin{vmatrix} l & m & n \\ a & b & c \\ d & e & f \end{vmatrix}$ then|the answer is A= B|easy|A - 2B= 0|A= B|A + B= 0|2A - B= 0|A= B
Given A= $\begin{vmatrix} a & b & 2c \\ d & e & 2f \\ l & m & 2n \end{vmatrix}$ and B= $\begin{vmatrix} f & 2d & e \\ 2n & 4l & 2m \\ c & 2a & b \end{vmatrix}$ then,|the answer is 2A + B= 0|easy|2A - B= 0|2A + B= 0|A + 2B= 0|A - 2B= 0|2A + B= 0
The value of the determinant $\begin{vmatrix} x + 1 & x + 2 & x + 4 \\ x + 3 & x + 5 & x + 8 \\ x + 7 & x + 10 & x + 14 \end{vmatrix}$|the answer is -2|medium|-2|$x^{2} + 2$|2|none of these|-2
If $\begin{vmatrix} x & x + y & x + y + z \\ 2x & 3x + 2y & 4x + 3y + 2z \\ 3x & 6x + 3y & 10x + 6y + 3z \end{vmatrix}$= 64 then the real value of x is|the answer is 4|medium|2|3|4|6|4
If $a\neq b\neq c$ then one value of x, which satisfies the equation $\begin{vmatrix} 0 & x - a & x - b \\ x + a & 0 & x - c \\ x + b & x + c & 0 \end{vmatrix}$= 0|the answer is 0|easy|a|b|c|0|0
The determinant $\begin{vmatrix} 32 & 24 & 16 \\ 8 & 3 & 5 \\ 4 & 5 & 3 \end{vmatrix}$ is equal to|the answer is $9\cdot \begin{vmatrix} 1 & 3 & 2 \\ 2 & 3 & 5 \\ 1 & 5 & 3 \end{vmatrix}$|easy|$9\cdot \begin{vmatrix} 1 & 3 & 2 \\ 2 & 3 & 5 \\ 1 & 5 & 3 \end{vmatrix}$|$\begin{vmatrix} 1 & 3 & 2 \\ 2 & 3 & 5 \\ 1 & 5 & 3 \end{vmatrix}$|$3\cdot \begin{vmatrix} 1 & 3 & 2 \\ 2 & 3 & 5 \\ 1 & 5 & 3 \end{vmatrix}$|none of these|$9\cdot \begin{vmatrix} 1 & 3 & 2 \\ 2 & 3 & 5 \\ 1 & 5 & 3 \end{vmatrix}$
The method of solving system of n linear simultaneous equations in n unknowns with the help of determinants is known as|the answer is Cramer's rule|easy|guassian rule|crammer's rule|determinant method|none of these|crammer's rule
The system of equation having solutions is called|the answer is consistent|easy|consistent|inconsistent|solvable|insolvable|consistent
What do we call the system equations If it has no solutions|the answer is inconsistent|easy|consistent|inconsistent|solvable|insolvable|inconsistent
If $ax^{4} + bx^{3} + cx^{2} + dx + e= \begin{vmatrix} x^{2} + 3x & x - 1 & x + 3 \\ x + 1 & -2x & x - 4 \\ x - 3 & x + 4 & 3x \end{vmatrix}$ is an identity in x, then the value of e is|the answer is 0|easy|0|1|2|3|0
What's the value of $\begin{vmatrix} m! & (m + 1)! & (m + 2)! \\ (m + 1)! & (m + 2)! & (m + 3)! \\ (m + 2)! & (m + 3)! & (m + 4)! \end{vmatrix}$|the answer is $2\cdot (m + 1)!\cdot (m + 2)!\cdot (m + 3)!$|medium|$2\cdot (m + 1)!\cdot (m + 2)!\cdot (m + 3)!$|$m!\cdot (m + 2)!\cdot (m + 3)!$|$2\cdot (m + 1)!\cdot (m + 2)!\cdot (m + 3)!$|none of these|$2\cdot (m + 1)!\cdot (m + 2)!\cdot (m + 3)!$
The value of the determinants $\begin{vmatrix} {}^{m - 1}C_{r - 1} & {}^{m - 1}C_{r} & {}^{m - 1}C_{r + 1} \\ {}^{m - 1}C_{r} & {}^{m - 1}C_{r + 1} & {}^{m - 1}C_{r + 2} \\ {}^{m}C_{r} & {}^{m}C_{r + 1} & {}^{m}C_{r + 2} \end{vmatrix}$|the answer is 0|medium|0|1|-1|none of these|0
The value of a determinant doesn't change when corresponding rows and columns are interchanged|the answer is True|easy|False|True|False|True|True
If any two rows or columns of determinant are interchanged, the absolute value of the determinant remains unaltered, but its sign is reversedthe answer is True|easy|False|True|False|True|True
If any two rows or columns of a determinant are identical, the value of the determinant is nonzero|the answer is False|easy|False|True|False|True|False
The common factor of all elements of any row or any column may be taken outside the sign of the determinants|the answer is True|easy|False|True|False|True|True
If I need two rows or columns of a determinant rather than to cover the value of the determinant is 0|the answer is True|easy|False|True|False|True|True
Is $\begin{vmatrix} x & 3x + 2 & 2x - 1 \\ 2x - 1 & 4x & 3x + 1 \\ 7x - 2 & 7x + 6 & 12x - 1 \end{vmatrix}$= 0 an identity|the answer is True|easy|False|True|False|True|True
