The roots of the equation $(a + b)^{2}\cdot x^{2} - 2(a^{2} - b^{2})\cdot x + (a - b)^{2}= 0|the answer is equal|easy|equal|distinct|equal|distint|equal
The roots of the equation $3x^{2} + 7x + 8$ are|the anser is doesn't exist|easy|equal|distint|doesn't exist|equal|doesn't exist
For what values of a will the root of the equation $3x^{2} + (7 + a)\cdot x + 8 - a= 0$ be equal|the answer is $-13 \pm 6\sqrt{6}$|easy|$-13 + 6\sqrt{6}$|$-13 - 6\sqrt{6}$|$13 + 6\sqrt{6}$|$13 - 6\sqrt{6}$|$-13 + 6\sqrt{6}$|$-13 - 6\sqrt{6}$
If the roots of the equation $(a^{2} + b^{2})x^{2} - 2(a\cdot c + b\cdot d)\cdot x + (c^{2} + d^{2})= 0$ are equal|the answer is a: b= c: d|easy|a: b= c: d|a: d= c: b|2a: b= 3c: d|2a: d= 3c: b|a: b= c: d
The roots of the equation $(b - c)\cdot x^{2} + 2(c - a)\cdot x + (a - b)= 0$ are|the answer is alway real|easy|always real|not alway real|always Integer|none of these|always real
If the roots of the equation $\frac{1}{x - a} + \frac{1}{x} + \frac{1}{x - 1}$ are always real, then|the answer is any real number|easy|any real|Integers|positive integer|negative integer|any real
If a + b + c= 0, the roots of the equation $a\cdot x^{2} + b\cdot x + c= 0$ are|the answer is rational|easy|any raal|integer|rational|positive inteeger|rational
The roots of the equation $(b + c - 2a)\cdot x^{2} + (c + a - 2b)\cdot x + (a + b - 2c)$|the answer is rational|easy|irrational|rational|integer|negative integer|rational
The roots of the equation $x^{2} r\cdot x + s= 0$ will be rational, if|the answer is $r= k + \frac{s}{k}$ where k is a rational|easy|$r= k\cdot s$|$r= k\cdot s^{2}$|$r= k + \frac{s}{k}$|$r= \frac{1}{s}$|$r= k + \frac{s}{k}$
The roots of the equation $(x - a)\cdot (x - b) + (x - b)\cdot (x - c) + (x - c)(x - a)= 0$ are|the answer is alway real and will be equal if a= b= c|medium|alway real|not real|real and equal iff a= b= c|none of these|alway real|real and equal iff a= b= c
If a, b, c are rational the roots of the equation $a^{2}\cdot (b^{2} - c^{2})\cdot x^{2} + b^{2}\cdot (c^{2} - a^{2})\cdot x + c^{2}\cdot (a^{2} - b^{2})= 0$|the answer is rational|medium|rational|irrational|not real|real|rational
If p, q, r are in H.P, and p and r are of same sign the roots of the equation $p\cdot x^{2} + 2q\cdot x + r= 0$ are|the answer is imaginary|medium|real|imaginary|rational|irrational|imaginary
If the roots of the equation $b\cdot x^{2} + (b - c)\cdot x + (b - c - a)$ are real, then the root of the equation $a\cdot x^{2} + 2b\cdot x + b= 0$ are|the answer is imaginary|medium|real|imaginary|rational|irrational|imaginary
