A sonometer wire of length 1.5 m is made of steel. The tension in it produces an elastic strain of 1 %. What is the fundamental frequency of steel if density and elasticity of steel are $7.7 \times 10^{3} kg/m^{3}$ and $2.2 \times 10^{11} N/m^{2}$ respectively?|the answer is 178.2 Hz|Physics|easy|178.2 Hz|200.5 Hz|770 Hz|188.5 Hz|178.2 Hz
The above p-v diagram represents the thermodynamic cycle of an engine operating with an ideal monoatomic gas. The amount of heat extracted from the source in a single cycle is <img src="/static/main/images/exams.jeemains/2013/p11.png"\>|the answer is $\left(\frac{11}{2}p_{0}v_{0}\right)$|Physics|easy|$\left(\frac{13}{2}p_{0}v_{0}\right)$|$4\cdot p_{0}v_{0}$|$p_{0}\cdot v_{0}\right)$|$\left(\frac{13}{2}p_{0}v_{0}\right)$|$\left(\frac{13}{2}p_{0}v_{0}\right)$
Let $[\epsilon_{0}]$ denote the dimensional formula of the permittivity of vacuum. If M = mass L = length T = time and A = electric current then:|he answer is $[\epsilon_{0}]= [M^{-1}L^{-3}T^{4}A^{2}]$|Physics|easy|$[\epsilon_{0}]= [M^{-1}L^{-3}T^{-4}A^{2}]$|$[\epsilon_{0}]= [M^{-1}L^{2}T^{-1}A^{-2}]$|$[\epsilon_{0}]= [M^{-1}L^{2}T^{-1}A]$|$[\epsilon_{0}]= [M^{-1}L^{-3}T^{4}A^{2}]$|$[\epsilon_{0}]= [M^{-1}L^{-3}T^{4}A^{2}]$
The graph between angle of deviation (δ) and angle of incidence (i) for a triangular prism is represented by:|the answer is option 2|Physics|Medium|<img src="/static/main/images/exams/jeemains/2013/p7.png"\>|<img src="/static/main/images/exams/jeemains/2013/p8.png"\>|<img src="/static/main/images/exams/jeemains/2013/p9.png"\>|<img src="/static/main/images/exams/jeemains/2013/p10.png"\>|<img src="/static/main/images/exams/jeemains/2013/p8.png"\>
Assume that a drop of liquid evaporates by decrease in its surface energy so that its temperature remains unchanged. What should be the minimum radius of the drop for this to be possible? The surface tension is|the answer is $\frac{2T}{\rho L}$|Physics|Medium|$\sqrt{\frac{T}{\rho L}}$|$\frac{T}{\rho L}$|$\frac{2T}{\rho L}$|$\frac{pL}{T}$|$\frac{2T}{\rho L}$
In a hydrogen like atom electron makes transition from an energy level with quantum number n to another with quantum number (n – 1). If n >> 1 the frequency of radiation emitted is proportional to|the answer is $\frac{1}{n^{3}}$|Physics|Medium|$\frac{1}{n^{2}}$|$\frac{1}{\frac{3}{3}}$|$\frac{1}{n^{3}}$|$\frac{1}{n}$|$\frac{1}{n^{3}}$
A metallic rod of length 'l' is tied to a string of length 2l and made to rotate with angular speed ω on a horizontal table with one end of the string fixed. If there is a vertical magnetic field 'B' in the region the e.m.f. induced across the ends of the rod is|the answer is $\frac{5B\omega l^{2}}{2}$|Physics|Medium|$\frac{3B\omega l^{2}}{2}$|$\frac{4B\omega l^{2}}{2}$|$\frac{5B\omega l^{2}}{2}$|$\frac{2B\omega l^{2}}{2}$|$\frac{5B\omega l^{2}}{2}$
Two coherent point sources S1 and S2 are separated by a small distance 'd' as shown. The fringes obtained on the screen will be: <br/> <img src="/static/main/images/exams/jeemains/2013/p5.png"\>|the answer is concentric circles|Physics|medium|straight lines|circles|semi-circles|concentric circles|concentric circles
The anode voltage of a photocell is kept fixed. The wavelength λ of the light falling on the cathode is gradually changed. The plate current I of the photocell varies as follows|the answer is 3rd option|Physics|Medium|<img src="/static/main/images/exams/jeemains/2013/p1.png"\>|<img src="/static/main/images/exams/jeemains/2013/p2.png"\>|<img src="/static/main/images/exams/jeemains/2013/p3.png"\>|<img src="/static/main/images/exams/jeemains/2013/p4.png"\>|<img src="/static/main/images/exams/jeemains/2013/p3.png"\>
A beam of unpolarised light of intensity I0 is passed through a polaroid A and then through another polaroid B which is oriented so that its principal plane makes an angle of 45° relative to that of A. The intensity of the emergent light is|the answer is $\frac{I_{0}}{4}$|Physics|Medium|$\frac{I_{0}}{2}$|$\frac{I_{0}}{4}|$\frac{I_{0}}{8}|$\frac{I_{0}}{4}$|$\frac{I_{0}}{4}$
Two charges each equal to q are kept at x = -a and x = a on the x-axis. A particle of mass m and charge $q_{0}= \frac{q}{2}$ is placed at the origin. If charge q0 is given a small displacement (y = a) along the y-axis the net force acting on the particle is proportional to|the answer is y|Physics|Medium|-y|$\frac{1}{y}$|-$\frac{1}{y}$|y|y
A uniform cylinder of length L and mass M having cross-sectional area A is suspended with its length vertical from a fixed point by a massless spring such that it is half submerged in a liquid of density $\sigma$ at equilibrium position. The extension x0 of the spring when it is in equilibrium is|the answer is $\frac{Mg}{k}\left(1 - \frac{LA\sigma}{2M}\right)$|Physics|Medium|$\frac{Mg}{k}\left(1 - \frac{LA\sigma}{M}\right)$|$\frac{Mg}{k}\left(1 - \frac{LA\sigma}{2M}\right)$|$\frac{Mg}{k}\left(1 + \frac{LA\sigma}{M}\right)$|$\frac{Mg}{k}$|$\frac{Mg}{k}\left(1 - \frac{LA\sigma}{2M}\right)$
